,,,,,,,,,,
,2024 Formula 1.5 Session Results,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Venue,Race,Session_No,Session_Type,Order,Driver,Team,Classification,Points,Fastest_Lap
,Bahrain,1,5,R,1,ALO,AM,1,25,1
,Bahrain,1,5,R,2,STR,AM,2,18,0
,Bahrain,1,5,R,3,ZHO,KICK,3,15,0
,Bahrain,1,5,R,4,MAG,HAAS,4,12,0
,Bahrain,1,5,R,5,RIC,VCARB,5,10,0
,Bahrain,1,5,R,6,TSU,VCARB,6,8,0
,Bahrain,1,5,R,7,ALB,WILL,7,6,0
,Bahrain,1,5,R,8,HUL,HAAS,8,4,0
,Bahrain,1,5,R,9,OCO,ALP,9,2,0
,Bahrain,1,5,R,10,GAS,ALP,10,1,0
,Bahrain,1,5,R,11,BOT,KICK,11,0,0
,Bahrain,1,5,R,12,SAR,WILL,12,0,0
,Saudi Arabia,2,5,R,1,ALO,AM,1,25,0
,Saudi Arabia,2,5,R,2,HUL,HAAS,2,18,0
,Saudi Arabia,2,5,R,3,ALB,WILL,3,15,0
,Saudi Arabia,2,5,R,4,MAG,HAAS,4,12,0
,Saudi Arabia,2,5,R,5,OCO,ALP,5,10,0
,Saudi Arabia,2,5,R,6,SAR,WILL,6,8,0
,Saudi Arabia,2,5,R,7,TSU,VCARB,7,6,0
,Saudi Arabia,2,5,R,8,RIC,VCARB,8,4,0
,Saudi Arabia,2,5,R,9,BOT,KICK,9,2,0
,Saudi Arabia,2,5,R,10,ZHO,KICK,10,1,1
,Saudi Arabia,2,5,R,11,STR,AM,DNF,0,0
,Saudi Arabia,2,5,R,12,GAS,ALP,DNF,0,0
,Australia,3,5,R,1,STR,AM,1,25,0
,Australia,3,5,R,2,TSU,VCARB,2,18,0
,Australia,3,5,R,3,ALO,AM,3,15,1
,Australia,3,5,R,4,HUL,HAAS,4,12,0
,Australia,3,5,R,5,MAG,HAAS,5,10,0
,Australia,3,5,R,6,ALB,WILL,6,8,0
,Australia,3,5,R,7,RIC,VCARB,7,6,0
,Australia,3,5,R,8,GAS,ALP,8,4,0
,Australia,3,5,R,9,BOT,KICK,9,2,0
,Australia,3,5,R,10,ZHO,KICK,10,1,0
,Australia,3,5,R,11,OCO,ALP,11,0,0
,Australia,3,5,R,12,SAR,WILL,DNS,0,0
,Japan,4,5,R,1,ALO,AM,1,25,1
,Japan,4,5,R,2,TSU,VCARB,2,18,0
,Japan,4,5,R,3,HUL,HAAS,3,15,0
,Japan,4,5,R,4,STR,AM,4,12,0
,Japan,4,5,R,5,MAG,HAAS,5,10,0
,Japan,4,5,R,6,BOT,KICK,6,8,0
,Japan,4,5,R,7,OCO,ALP,7,6,0
,Japan,4,5,R,8,GAS,ALP,8,4,0
,Japan,4,5,R,9,SAR,WILL,9,2,0
,Japan,4,5,R,10,ZHO,KICK,DNF,0,0
,Japan,4,5,R,11,RIC,VCARB,DNF,0,0
,Japan,4,5,R,12,ALB,WILL,DNF,0,0
,China,5,3,SR,1,ZHO,KICK,1,8,0
,China,5,3,SR,2,MAG,HAAS,2,7,0
,China,5,3,SR,3,RIC,VCARB,3,6,0
,China,5,3,SR,4,BOT,KICK,4,5,0
,China,5,3,SR,5,OCO,ALP,5,4,0
,China,5,3,SR,6,STR,AM,6,3,0
,China,5,3,SR,7,GAS,ALP,7,2,0
,China,5,3,SR,8,TSU,VCARB,8,1,0
,China,5,3,SR,9,ALB,WILL,9,0,0
,China,5,3,SR,10,SAR,WILL,10,0,0
,China,5,3,SR,11,HUL,HAAS,11,0,0
,China,5,3,SR,12,ALO,AM,12,0,0
,China,5,5,R,1,ALO,AM,1,25,1
,China,5,5,R,2,HUL,HAAS,2,18,0
,China,5,5,R,3,OCO,ALP,3,15,0
,China,5,5,R,4,ALB,WILL,4,12,0
,China,5,5,R,5,GAS,ALP,5,10,0
,China,5,5,R,6,ZHO,KICK,6,8,0
,China,5,5,R,7,STR,AM,7,6,0
,China,5,5,R,8,MAG,HAAS,8,4,0
,China,5,5,R,9,SAR,WILL,9,2,0
,China,5,5,R,10,RIC,VCARB,DNF,0,0
,China,5,5,R,11,TSU,VCARB,DNF,0,0
,China,5,5,R,12,BOT,KICK,DNF,0,0
,Miami,6,3,SR,1,RIC,VCARB,1,8,0
,Miami,6,3,SR,2,HUL,HAAS,2,7,0
,Miami,6,3,SR,3,TSU,VCARB,3,6,0
,Miami,6,3,SR,4,GAS,ALP,4,5,0
,Miami,6,3,SR,5,SAR,WILL,5,4,0
,Miami,6,3,SR,6,ZHO,KICK,6,3,0
,Miami,6,3,SR,7,ALB,WILL,7,2,0
,Miami,6,3,SR,8,BOT,KICK,8,1,0
,Miami,6,3,SR,9,OCO,ALP,9,0,0
,Miami,6,3,SR,10,ALO,AM,10,0,0
,Miami,6,3,SR,11,MAG,HAAS,11,0,0
,Miami,6,3,SR,12,STR,AM,DNF,0,0
,Miami,6,5,R,1,TSU,VCARB,1,25,0
,Miami,6,5,R,2,ALO,AM,2,18,0
,Miami,6,5,R,3,OCO,ALP,3,15,0
,Miami,6,5,R,4,HUL,HAAS,4,12,0
,Miami,6,5,R,5,GAS,ALP,5,10,0
,Miami,6,5,R,6,ZHO,KICK,6,8,0
,Miami,6,5,R,7,RIC,VCARB,7,6,0
,Miami,6,5,R,8,BOT,KICK,8,4,0
,Miami,6,5,R,9,STR,AM,9,2,0
,Miami,6,5,R,10,ALB,WILL,10,1,1
,Miami,6,5,R,11,MAG,HAAS,11,0,0
,Miami,6,5,R,12,SAR,WILL,DNF,0,0
,Emilia-Romagna,7,5,R,1,STR,AM,1,25,0
,Emilia-Romagna,7,5,R,2,TSU,VCARB,2,18,0
,Emilia-Romagna,7,5,R,3,HUL,HAAS,3,15,0
,Emilia-Romagna,7,5,R,4,MAG,HAAS,4,12,0
,Emilia-Romagna,7,5,R,5,RIC,VCARB,5,10,0
,Emilia-Romagna,7,5,R,6,OCO,ALP,6,8,0
,Emilia-Romagna,7,5,R,7,ZHO,KICK,7,6,0
,Emilia-Romagna,7,5,R,8,GAS,ALP,8,4,0
,Emilia-Romagna,7,5,R,9,SAR,WILL,9,2,0
,Emilia-Romagna,7,5,R,10,BOT,KICK,10,1,0
,Emilia-Romagna,7,5,R,11,ALO,AM,11,0,0
,Emilia-Romagna,7,5,R,12,ALB,WILL,DNF,0,0
,Monaco,8,5,R,1,TSU,VCARB,1,25,0
,Monaco,8,5,R,2,ALB,WILL,2,18,0
,Monaco,8,5,R,3,GAS,ALP,3,15,0
,Monaco,8,5,R,4,ALO,AM,4,12,0
,Monaco,8,5,R,5,RIC,VCARB,5,10,0
,Monaco,8,5,R,6,BOT,KICK,6,8,0
,Monaco,8,5,R,7,STR,AM,7,6,0
,Monaco,8,5,R,8,SAR,WILL,8,4,0
